Wall time,Step,Value
1622464748.994633,5,-953.1312255859375
1622464806.507066,18,-944.7637939453125
1622464829.992765,24,-975.6995849609375
1622464893.175245,40,-966.817626953125
1622464900.889501,42,-833.3446044921875
1622464914.575499,45,-852.3231201171875
1622464922.594936,47,-874.7472534179688
1622464945.970462,53,-760.7062377929688
1622464957.627405,56,-813.1358642578125
1622465016.272983,71,-847.7857055664062
1622465028.017023,74,-848.4492797851562
1622465047.721553,79,-934.0222778320312
1622465079.055817,87,-848.398681640625
1622465106.472909,94,-942.9208984375
1622465140.46622,102,-970.2085571289062
1622465154.03016,105,-859.1693115234375
1622465158.492652,106,-964.8433227539062
1622465190.138019,113,-962.12060546875
1622465212.784713,118,-894.8090209960938
1622465246.137492,126,-937.0372924804688
1622465297.217114,139,-968.233154296875
1622465339.957626,150,-913.7131958007812
1622465359.362855,155,-957.1994018554688
1622465370.9934,158,-904.5874633789062
1622465408.602185,167,-961.60693359375
1622465413.227949,168,-942.818359375
1622465455.659961,178,-854.6094970703125
1622465475.540411,183,-934.3157348632812
1622465483.496296,185,-978.47802734375
1622465487.509932,186,-972.9957885742188
1622465503.427096,190,-947.6402587890625
1622465535.833601,198,-889.8533325195312
1622465568.606701,206,-967.0086669921875
1622465572.552,207,-934.2689208984375
1622465593.624271,212,-969.3267211914062
1622465643.667658,223,-921.89697265625
1622465668.355768,229,-893.1163940429688
1622465687.794813,234,-975.0418090820312
1622465699.751149,237,-862.7704467773438
1622465754.283601,249,-962.853515625
1622465781.854408,255,-977.494873046875
1622465804.974966,260,-972.3760986328125
1622465818.786671,263,-944.905029296875
1622465837.438874,267,-967.6708374023438
1622465856.023512,271,-965.9689331054688
1622465865.307664,273,-969.509521484375
1622465944.498287,292,-969.7540283203125
1622465964.189118,297,-971.0651245117188
1622465968.168375,298,-975.821533203125
1622465988.608686,303,-978.3007202148438
1622466008.505203,308,-945.266357421875
1622466016.632418,310,-959.9440307617188
1622466048.285643,318,-973.9219360351562
1622466052.259754,319,-975.339599609375
1622466079.889243,326,-978.1488037109375
1622466095.673258,330,-971.717529296875
1622466131.451356,339,-926.8515625
1622466163.223368,347,-972.3742065429688
1622466227.467995,363,-976.8751220703125
1622466243.530911,367,-962.3226928710938
1622466267.59719,373,-961.8331909179688
1622466283.63648,377,-971.2494506835938
1622466291.670129,379,-976.02001953125
1622466464.56588,421,-957.98486328125
1622466469.16518,422,-950.1284790039062
1622466478.389667,424,-975.8734130859375
1622466505.81587,430,-974.302734375
1622466547.241306,439,-970.9398193359375
1622466556.500253,441,-974.6290893554688
1622466561.154171,442,-969.220703125
1622466575.019912,445,-978.4397583007812
1622466602.813802,451,-973.3132934570312
1622466644.246084,460,-972.2080688476562
1622466657.930621,463,-979.8290405273438
1622466662.524654,464,-975.2813720703125
1622466708.216571,474,-970.0623168945312
1622466787.439833,491,-974.6190185546875
1622466796.721037,493,-971.7401123046875
1622466861.961784,507,-972.3467407226562
1622466885.448065,512,-978.0172119140625
1622466894.83293,514,-960.4927978515625
1622466908.024636,517,-958.7694702148438
1622466939.698223,525,-971.2129516601562
1622466963.442644,531,-976.8895263671875
1622466971.304784,533,-968.3642578125
1622466983.132871,536,-967.6336059570312
1622467006.737807,542,-971.184814453125
1622467026.397143,547,-972.9138793945312
1622467065.843849,557,-969.147705078125
1622467089.482262,563,-973.0189208984375
1622467117.044852,569,-966.1309814453125
1622467135.467876,573,-975.6784057617188
1622467163.111016,579,-975.9342651367188
1622467172.386993,581,-964.2874755859375
1622467177.063018,582,-958.447509765625
1622467186.36685,584,-977.4672241210938
1622467194.342521,586,-956.944091796875
1622467198.306992,587,-969.22900390625
1622467218.316589,592,-960.894287109375
1622467222.286303,593,-974.2258911132812
1622467259.070094,602,-937.3386840820312
1622467283.206844,608,-744.03369140625
1622467291.157906,610,-949.5971069335938
1622467311.294346,615,-955.1126708984375
1622467331.124376,620,-961.271728515625
1622467339.119463,622,-883.7445068359375
1622467386.957421,634,-936.2728271484375
1622467415.502766,641,-966.3898315429688
1622467419.542991,642,-831.1989135742188
1622467427.68612,644,-889.6820068359375
1622467435.915666,646,-954.6369018554688
1622467439.897673,647,-930.1910400390625
1622467447.821344,649,-973.1142578125
1622467495.323515,661,-838.8009033203125
1622467507.334652,664,-935.7178344726562
1622467523.678305,668,-831.9484252929688
1622467536.00522,671,-949.478515625
1622467548.210794,674,-969.8654174804688
1622467564.472545,678,-975.6742553710938
