Wall time,Step,Value
1622781939.716137,5,-891.783935546875
1622781990.904571,18,-736.1996459960938
1622782013.939568,24,-826.385986328125
1622782075.534526,40,-831.2662963867188
1622782083.312045,42,-928.2542114257812
1622782094.952789,45,-965.4664306640625
1622782126.045051,53,-859.9996948242188
1622782137.716811,56,-894.1064453125
1622782195.781957,71,-871.913818359375
1622782207.645977,74,-704.0230102539062
1622782285.905221,94,-981.3419189453125
1622782317.788088,102,-711.041259765625
1622782333.320026,106,-756.4752197265625
1622782411.540583,126,-730.27783203125
1622782462.171263,139,-711.7950439453125
1622782523.808358,155,-757.5684204101562
1622782535.390065,158,-698.9481201171875
1622782570.343431,167,-963.7619018554688
1622782613.131678,178,-809.405029296875
1622782632.400813,183,-664.2572631835938
1622782640.207542,185,-759.1364135742188
1622782644.07521,186,-702.822509765625
1622782659.785038,190,-911.2393798828125
1622782726.336428,207,-730.904052734375
1622782788.137971,223,-678.115234375
1622782811.592268,229,-678.4005126953125
1622782831.379316,234,-787.2951049804688
1622782890.586592,249,-814.9029541015625
1622782913.873378,255,-774.319580078125
1622782933.633358,260,-755.8956298828125
1622782961.374044,267,-956.3244018554688
1622782977.255019,271,-681.3792724609375
1622782985.257389,273,-669.6669921875
1622783059.453576,292,-644.1617431640625
1622783122.35287,308,-741.7936401367188
1622783130.071212,310,-710.8577880859375
1622783161.521012,318,-709.7144165039062
1622783209.307222,330,-843.7353515625
1622783244.71011,339,-672.45654296875
1622783276.106466,347,-638.8927001953125
1622783338.769195,363,-717.4688720703125
1622783354.765542,367,-757.9982299804688
1622783394.437378,377,-825.1583862304688
1622783567.646978,421,-653.0118408203125
1622783571.611608,422,-789.3633422851562
1622783638.027212,439,-833.609375
1622783645.882632,441,-797.6648559570312
1622783649.79054,442,-744.0223999023438
1622783661.425947,445,-755.1729736328125
1622783720.140834,460,-802.4354248046875
1622783731.969294,463,-714.9638061523438
1622783735.931867,464,-642.1488037109375
1622783775.890389,474,-599.5599975585938
1622783843.635574,491,-940.9119262695312
1622783851.522157,493,-733.5885009765625
1622783935.652632,514,-673.1893920898438
1622783947.69279,517,-701.53955078125
1622783979.771797,525,-726.6826171875
1622784003.855485,531,-703.289306640625
1622784011.752918,533,-690.5239868164062
1622784023.708767,536,-675.665771484375
1622784047.748146,542,-765.626708984375
1622784067.607496,547,-782.21728515625
1622784106.854096,557,-674.1197509765625
1622784130.387558,563,-759.1515502929688
1622784169.672006,573,-719.1929321289062
1622784193.886264,579,-719.66259765625
1622784201.970793,581,-696.6362915039062
1622784222.291993,586,-688.1015625
1622784226.278672,587,-751.2328491210938
1622784286.295775,602,-763.531005859375
1622784358.228353,620,-709.4180908203125
1622784366.224666,622,-656.7431030273438
1622784413.646218,634,-711.6226806640625
1622784441.474192,641,-733.7181396484375
1622784445.393211,642,-719.0966796875
1622784453.316364,644,-780.31298828125
1622784465.133321,647,-762.043212890625
1622784473.034366,649,-777.7870483398438
1622784520.355994,661,-645.2694091796875
1622784548.035701,668,-733.93359375
1622784559.831079,671,-745.5573120117188
1622784571.610744,674,-713.92822265625
1622784607.066787,683,-682.6240844726562
1622784627.177694,688,-694.9578857421875
1622784732.4431,714,-780.8057250976562
1622784748.128414,718,-747.283935546875
1622784763.903685,722,-694.7380981445312
1622784767.787293,723,-694.5709228515625
1622784795.680554,730,-773.5098266601562
1622784831.287946,739,-705.67578125
1622784847.462038,743,-726.4819946289062
