Wall time,Step,Value
1621430354.96138,1,0.23531900346279144
1621430354.979298,2,0.8909982442855835
1621430354.991564,3,1.8325235843658447
1621430355.012303,4,2.9196109771728516
1621430355.024916,5,4.0381293296813965
1621430355.038789,6,5.099589824676514
1621430355.045246,7,6.041512966156006
1621430355.067671,8,6.827045440673828
1621430355.077146,9,7.436157703399658
1621430355.093664,10,7.857709884643555
1621430355.108864,11,7.790421485900879
1621430355.117868,12,6.873767852783203
1621430355.125764,13,5.0760579109191895
1621430355.135553,14,2.4809012413024902
1621430355.141783,15,-0.7549669146537781
1621430355.153121,16,-4.423820495605469
1621430355.159666,17,-8.309046745300293
1621430355.168752,18,-12.26461124420166
1621430355.176577,19,-16.22606658935547
1621430355.185786,20,-20.151315689086914
1621430355.194359,21,-24.001747131347656
1621430355.204085,22,-27.74256134033203
1621430355.212682,23,-31.342926025390625
1621430355.219245,24,-34.77595520019531
1621430355.228311,25,-38.01856994628906
1621430355.235462,26,-41.051231384277344
1621430355.248491,27,-43.85762405395508
1621430355.254644,28,-46.424285888671875
1621430355.262196,29,-48.74019241333008
1621430355.269648,30,-50.79636001586914
1621430355.27839,31,-52.58546829223633
1621430355.285892,32,-54.10149383544922
1621430355.297492,33,-55.339378356933594
1621430355.30744,34,-56.29475784301758
1621430355.315122,35,-56.963722229003906
1621430355.324109,36,-57.34263610839844
1621430355.331972,37,-57.428001403808594
1621430355.340699,38,-57.216392517089844
1621430355.351976,39,-56.70442199707031
1621430355.361089,40,-55.88881301879883
1621430355.371251,41,-54.7664794921875
1621430355.382815,42,-53.334720611572266
1621430355.394493,43,-51.59144973754883
1621430355.402437,44,-49.53554153442383
1621430355.411625,45,-47.16719436645508
1621430355.42129,46,-44.48841094970703
1621430355.428915,47,-41.503536224365234
1621430355.442218,48,-38.21982955932617
1621430355.450149,49,-34.64810562133789
1621430355.459905,50,-30.803367614746094
1621430355.469575,51,-26.70543670654297
1621430355.477234,52,-22.379499435424805
1621430355.487511,53,-17.41219139099121
1621430355.498048,54,-11.467784881591797
1621430355.507513,55,-4.759370803833008
1621430355.515504,56,2.3802802562713623
1621430355.527188,57,9.610320091247559
1621430355.5358,58,16.657115936279297
1621430355.54426,59,23.328086853027344
1621430355.555599,60,29.51019859313965
1621430355.566201,61,35.15910339355469
1621430355.575383,62,40.29064178466797
1621430355.584756,63,44.96401596069336
1621430355.592268,64,49.246849060058594
1621430355.603079,65,53.17913055419922
1621430355.613201,66,56.758270263671875
1621430355.622558,67,59.943702697753906
1621430355.632837,68,62.669281005859375
1621430355.642031,69,64.86665344238281
1621430355.653693,70,66.48526000976562
1621430355.663765,71,67.48426818847656
1621430355.674557,72,67.82646179199219
1621430355.683482,73,67.28486633300781
1621430355.691234,74,65.67446899414062
1621430355.702922,75,63.17744827270508
1621430355.710585,76,59.99239730834961
1621430355.71953,77,56.1297607421875
1621430355.729096,78,51.285526275634766
1621430355.736929,79,45.48799514770508
1621430355.746086,80,38.79267883300781
1621430355.757338,81,30.97933578491211
1621430355.766607,82,22.378055572509766
1621430355.774097,83,13.384328842163086
1621430355.783749,84,4.311236381530762
1621430355.79297,85,-4.682318687438965
1621430355.804528,86,-13.518121719360352
1621430355.812492,87,-22.126319885253906
1621430355.820016,88,-30.44643211364746
1621430355.828945,89,-38.42832946777344
1621430355.836574,90,-46.0330696105957
1621430355.848798,91,-53.23320007324219
1621430355.857802,92,-60.012001037597656
1621430355.876569,93,-66.36127471923828
1621430355.884652,94,-71.79031372070312
1621430355.896694,95,-76.35929870605469
1621430355.906498,96,-80.61051940917969
1621430355.913981,97,-84.03895568847656
1621430355.923354,98,-86.6866226196289
1621430355.931025,99,-89.08030700683594
1621430355.944776,100,-91.2049560546875
1621430355.954457,101,-93.06304168701172
1621430355.962132,102,-94.66513061523438
1621430355.971351,103,-96.0203857421875
1621430355.978797,104,-97.13642883300781
1621430355.987602,105,-98.01927947998047
1621430355.998232,106,-98.6731948852539
1621430356.007156,107,-99.10064697265625
1621430356.014732,108,-99.30226135253906
1621430356.023172,109,-99.27671813964844
1621430356.031104,110,-99.02072143554688
1621430356.043564,111,-98.5289306640625
1621430356.053804,112,-97.79391479492188
1621430356.061439,113,-96.80609893798828
1621430356.074503,114,-95.5537338256836
1621430356.082236,115,-94.02286529541016
1621430356.094464,116,-92.19734191894531
1621430356.10204,117,-90.058837890625
1621430356.112687,118,-87.58699035644531
1621430356.120141,119,-84.75952911376953
1621430356.126874,120,-81.5525894165039
1621430356.134321,121,-77.94110107421875
1621430356.141595,122,-73.89940643310547
1621430356.150084,123,-69.40203094482422
1621430356.160649,124,-64.4248046875
1621430356.168592,125,-58.946170806884766
1621430356.17432,126,-52.948909759521484
1621430356.182976,127,-46.422115325927734
1621430356.188796,128,-39.36344528198242
1621430356.194331,129,-31.783390045166016
1621430356.204311,130,-23.717761993408203
1621430356.211481,131,-15.237642288208008
1621430356.219147,132,-6.001965522766113
1621430356.226213,133,3.705226182937622
1621430356.235669,134,13.536233901977539
1621430356.24274,135,23.527326583862305
1621430356.253438,136,33.23875045776367
1621430356.260502,137,42.37163543701172
1621430356.269394,138,50.78386688232422
1621430356.276584,139,58.457237243652344
1621430356.285926,140,65.45510864257812
1621430356.292871,141,71.86882019042969
1621430356.302933,142,77.76811981201172
1621430356.310286,143,83.18214416503906
1621430356.319066,144,87.73603057861328
1621430356.326465,145,91.45439910888672
1621430356.335198,146,94.7530517578125
1621430356.341286,147,97.29863739013672
1621430356.351372,148,98.77886199951172
1621430356.358645,149,99.55890655517578
1621430356.367025,150,99.65449523925781
1621430356.374313,151,99.06644439697266
1621430356.392791,152,97.78264617919922
1621430356.412016,153,95.44551849365234
1621430356.421415,154,92.36222076416016
1621430356.428918,155,88.85191345214844
1621430356.436895,156,84.50340270996094
1621430356.443801,157,79.28118133544922
1621430356.45455,158,73.52765655517578
1621430356.463702,159,66.82467651367188
1621430356.471186,160,59.212181091308594
1621430356.477277,161,51.20796203613281
1621430356.487118,162,42.501792907714844
1621430356.495168,163,33.304569244384766
1621430356.513951,164,23.827241897583008
1621430356.527918,165,13.832559585571289
1621430356.536213,166,3.6316752433776855
1621430356.542567,167,-6.465404033660889
1621430356.552287,168,-16.296188354492188
1621430356.566323,169,-25.8083438873291
1621430356.574075,170,-34.98851776123047
1621430356.582921,171,-43.85455322265625
1621430356.590147,172,-52.39421463012695
1621430356.602275,173,-60.544105529785156
1621430356.609803,174,-67.72833251953125
1621430356.61833,175,-73.97283935546875
1621430356.625634,176,-79.88292694091797
1621430356.634478,177,-84.96044158935547
1621430356.642913,178,-89.23582458496094
1621430356.651817,179,-92.741943359375
1621430356.660011,180,-95.50712585449219
1621430356.667112,181,-98.10298919677734
1621430356.676227,182,-99.98579406738281
1621430356.682527,183,-101.16886901855469
1621430356.689837,184,-102.18193054199219
1621430356.701189,185,-102.99407196044922
1621430356.709503,186,-103.60995483398438
1621430356.717,187,-104.0325698852539
1621430356.725961,188,-104.26317596435547
1621430356.733632,189,-104.3012924194336
1621430356.745532,190,-104.1446304321289
1621430356.752595,191,-103.78903198242188
1621430356.761406,192,-103.22843933105469
1621430356.768476,193,-102.4548110961914
1621430356.777611,194,-101.45806121826172
1621430356.78487,195,-100.22602844238281
1621430356.794687,196,-98.7443618774414
1621430356.800388,197,-96.99653625488281
1621430356.807264,198,-94.96380615234375
1621430356.814386,199,-92.62521362304688
