Wall time,Step,Value
1622336639.430393,5,-968.200927734375
1622336646.675361,6,-972.5158081054688
1622336676.246136,10,-951.2090454101562
1622336684.150844,11,-969.368408203125
1622336698.751127,13,-967.10107421875
1622336705.852336,14,-921.7131958007812
1622336713.185889,15,-973.8218383789062
1622336720.560642,16,-965.4066772460938
1622336727.705256,17,-954.323486328125
1622336734.715108,18,-949.6077270507812
1622336742.008133,19,-953.689697265625
1622336749.294494,20,-947.6777954101562
1622336778.508754,24,-952.3477783203125
1622336785.881761,25,-937.6929321289062
1622336844.687619,33,-968.0907592773438
1622336851.946254,34,-962.387451171875
1622336866.788874,36,-970.6246948242188
1622336888.419434,39,-953.953857421875
1622336895.789919,40,-975.96484375
1622336910.52257,42,-915.19970703125
1622336918.013935,43,-959.7156982421875
1622336925.340831,44,-972.7505493164062
1622336932.775471,45,-953.9946899414062
1622336947.369123,47,-973.5099487304688
1622336961.508204,49,-953.2381591796875
1622336968.781184,50,-973.45166015625
1622336990.351156,53,-961.05810546875
1622336997.327748,54,-952.4977416992188
1622337004.64116,55,-963.9540405273438
1622337011.94067,56,-951.8698120117188
1622337019.323783,57,-972.592041015625
1622337040.57308,60,-968.7152709960938
1622337047.853477,61,-950.5357666015625
1622337062.315284,63,-972.8816528320312
1622337076.670922,65,-943.2823486328125
1622337084.929646,66,-930.9733276367188
1622337092.306602,67,-966.719482421875
1622337099.482705,68,-975.6849975585938
1622337120.980625,71,-965.998046875
1622337128.289781,72,-970.5748291015625
1622337135.579892,73,-957.0265502929688
1622337142.547391,74,-976.1717529296875
1622337157.019804,76,-962.5422973632812
1622337178.646121,79,-957.989990234375
1622337214.775279,84,-942.5962524414062
1622337222.164143,85,-976.56787109375
1622337229.418719,86,-975.1407470703125
1622337236.855558,87,-971.445556640625
1622337244.044054,88,-974.7113037109375
1622337251.22541,89,-977.9968872070312
1622337287.140726,94,-978.4469604492188
1622337349.395138,102,-978.2322998046875
1622337363.955544,104,-974.89453125
1622337371.16862,105,-975.2196044921875
1622337378.995628,106,-977.2843627929688
1622337429.884111,113,-971.5721435546875
1622337451.381133,116,-977.5849609375
1622337466.121699,118,-976.7361450195312
1622337473.190746,119,-972.7018432617188
1622337480.315754,120,-972.941650390625
1622337509.430192,124,-973.4326171875
1622337516.377142,125,-969.95458984375
1622337523.852545,126,-968.0823364257812
1622337545.664979,129,-977.6771850585938
1622337552.804562,130,-977.6054077148438
1622337574.7138,133,-974.459716796875
1622337603.345355,137,-975.0067138671875
1622337617.942993,139,-974.2425537109375
1622337632.295372,141,-956.672119140625
1622337639.642829,142,-976.0645751953125
1622337646.961337,143,-977.5855102539062
1622337654.106863,144,-970.0281982421875
1622337661.07305,145,-974.0818481445312
1622337668.349059,146,-959.7010498046875
1622337683.149869,148,-976.43798828125
1622337697.28764,150,-976.3590698242188
1622337719.214358,153,-974.6738891601562
1622337726.422461,154,-973.6365356445312
1622337733.496494,155,-977.7431030273438
1622337748.069953,157,-965.8689575195312
1622337755.525285,158,-973.715087890625
1622337762.682445,159,-960.4384765625
1622337784.23249,162,-978.3355102539062
1622337798.858356,164,-973.1607666015625
1622337805.880113,165,-977.7299194335938
1622337820.643692,167,-961.64599609375
1622337828.012581,168,-964.9608764648438
1622337849.438401,171,-967.05908203125
1622337878.276348,175,-957.1395874023438
1622337885.547665,176,-976.5394897460938
1622337892.824227,177,-975.2239379882812
1622337900.202834,178,-976.32421875
1622337914.410263,180,-956.6759643554688
1622337921.630363,181,-975.3409423828125
1622337936.392485,183,-968.7546997070312
1622337950.560643,185,-977.9238891601562
1622337957.787141,186,-966.90478515625
1622337965.120628,187,-973.265380859375
1622337972.603325,188,-963.5609130859375
1622337986.91861,190,-957.8654174804688
1622337994.072494,191,-968.3583374023438
1622338045.376617,198,-943.727783203125
1622338079.839136,202,-969.5853271484375
1622338108.967359,206,-972.045654296875
1622338116.957028,207,-955.775146484375
1622338124.304972,208,-971.7052001953125
1622338153.816941,212,-970.755126953125
1622338160.938662,213,-953.4378051757812
1622338168.111456,214,-945.1178588867188
1622338175.458321,215,-934.9659423828125
1622338197.002374,218,-967.6647338867188
1622338204.257601,219,-879.3309936523438
1622338226.31869,222,-966.10986328125
1622338233.333914,223,-948.2982177734375
1622338247.857558,225,-953.8152465820312
1622338255.253212,226,-962.3671264648438
1622338262.423384,227,-969.744384765625
1622338276.784917,229,-969.1011962890625
1622338284.098489,230,-927.8408203125
1622338291.518037,231,-914.9249877929688
1622338298.684557,232,-841.6253051757812
1622338305.820448,233,-907.9988403320312
1622338312.984845,234,-951.7410278320312
