Wall time,Step,Value
1622446501.717241,5,-967.3283081054688
1622446541.593328,15,-962.9979858398438
1622446553.118005,18,-963.84912109375
1622446576.225436,24,-964.413330078125
1622446639.121046,40,-960.7974243164062
1622446646.742539,42,-961.40283203125
1622446654.390091,44,-959.0211181640625
1622446658.263071,45,-965.2078247070312
1622446665.908601,47,-948.9785766601562
1622446688.84421,53,-950.6373901367188
1622446700.318353,56,-956.4422607421875
1622446740.989425,65,-967.1823120117188
1622446764.754591,71,-959.9436645507812
1622446768.582128,72,-961.6529541015625
1622446772.446293,73,-966.7704467773438
1622446776.263198,74,-954.4689331054688
1622446795.60746,79,-971.5702514648438
1622446830.030797,87,-944.3245239257812
1622446862.033542,94,-952.592529296875
1622446897.601587,102,-945.2106323242188
1622446909.345168,105,-948.2804565429688
1622446913.293552,106,-963.0299072265625
1622446940.938441,113,-961.947509765625
1622446960.584241,118,-890.86181640625
1622446993.883373,126,-959.6087036132812
1622447009.994733,130,-876.9105224609375
1622447044.879769,139,-927.0935668945312
1622447056.460614,142,-924.7908935546875
1622447087.885208,150,-958.289794921875
1622447107.636083,155,-916.9471435546875
1622447119.587018,158,-947.9452514648438
1622447155.400191,167,-883.900634765625
1622447159.453758,168,-931.0543212890625
1622447194.74905,177,-939.6575317382812
1622447198.680861,178,-848.7296752929688
1622447221.498314,183,-883.45751953125
1622447230.64249,185,-945.6643676757812
1622447235.249924,186,-822.352294921875
1622447251.536723,190,-845.2962646484375
1622447283.025344,198,-857.9725341796875
1622447315.022474,206,-823.8555297851562
1622447318.907822,207,-963.8775024414062
1622447322.908564,208,-870.7909545898438
1622447338.652669,212,-779.8418579101562
1622447381.876198,223,-955.5524291992188
1622447405.552728,229,-948.9655151367188
1622447425.457705,234,-683.2449340820312
1622447437.327727,237,-896.407470703125
1622447485.075321,249,-683.6123657226562
1622447508.950786,255,-748.0245361328125
1622447529.07581,260,-695.1661987304688
1622447541.025131,263,-783.9378662109375
1622447557.009687,267,-873.5357055664062
1622447572.946844,271,-672.4337768554688
1622447580.789938,273,-760.1650390625
1622447655.573791,292,-791.86181640625
1622447675.15379,297,-708.0261840820312
1622447679.100009,298,-788.31494140625
1622447701.132397,303,-691.94140625
1622447719.561867,307,-634.8079833984375
1622447724.117467,308,-716.4693603515625
1622447733.309514,310,-738.4083862304688
1622447770.184799,318,-729.618896484375
1622447774.860388,319,-714.26806640625
1622447802.481133,325,-684.0907592773438
1622447807.049011,326,-726.7200317382812
1622447811.669411,327,-603.0911254882812
1622447823.440359,330,-747.4558715820312
1622447858.934932,339,-728.8233642578125
1622447890.490263,347,-656.0101928710938
1622447954.208717,363,-705.6159057617188
1622447970.2654,367,-838.372314453125
1622447994.396732,373,-834.0506591796875
1622448010.418258,377,-725.6060791015625
1622448018.437986,379,-741.831298828125
1622448066.434544,391,-715.1968383789062
1622448070.420882,392,-702.9486083984375
1622448142.556858,408,-725.1656494140625
1622448199.451138,421,-680.21044921875
1622448204.047126,422,-690.3391723632812
1622448213.161961,424,-728.673583984375
1622448239.431822,430,-685.2566528320312
1622448274.615491,439,-679.2816772460938
1622448282.530505,441,-670.2533569335938
1622448286.51626,442,-748.7662353515625
1622448298.334579,445,-716.5900268554688
1622448322.109713,451,-665.047119140625
