Wall time,Step,Value
1622521314.864641,5,-919.9965209960938
1622521318.693139,6,-964.7041015625
1622521335.023526,10,-938.35400390625
1622521339.638255,11,-925.1397705078125
1622521347.588815,13,-862.3336181640625
1622521351.4705,14,-745.2005004882812
1622521355.415589,15,-877.6401977539062
1622521359.295169,16,-690.4502563476562
1622521363.238577,17,-920.4844970703125
1622521367.135618,18,-856.2596435546875
1622521371.081757,19,-940.4092407226562
1622521374.974049,20,-763.6449584960938
1622521392.657378,24,-947.8521728515625
1622521430.130066,33,-856.9505615234375
1622521434.727127,34,-732.9188232421875
1622521443.285986,36,-964.550048828125
1622521455.150062,39,-959.0875244140625
1622521459.081596,40,-801.15625
1622521466.981271,42,-899.2601928710938
1622521474.891389,44,-965.2728271484375
1622521478.918887,45,-897.1566772460938
1622521486.842098,47,-888.3881225585938
1622521494.743125,49,-966.854736328125
1622521498.666373,50,-940.67431640625
1622521510.565618,53,-920.9578247070312
1622521514.496489,54,-896.544677734375
1622521518.480001,55,-890.6497192382812
1622521522.4181,56,-629.96435546875
1622521526.408832,57,-873.5143432617188
1622521538.247002,60,-798.381103515625
1622521542.227033,61,-768.8521728515625
1622521550.163099,63,-771.5863037109375
1622521558.122978,65,-836.3849487304688
1622521562.059919,66,-691.889892578125
1622521566.039989,67,-722.10498046875
1622521569.975539,68,-958.4063110351562
1622521581.942018,71,-916.4144897460938
1622521585.916737,72,-890.7302856445312
1622521589.921584,73,-820.6353759765625
1622521593.881826,74,-814.4673461914062
1622521601.824459,76,-722.4869384765625
1622521613.776209,79,-657.4097290039062
1622521633.591155,84,-906.9420776367188
1622521637.567602,85,-798.42919921875
1622521641.53516,86,-970.1786499023438
1622521645.446082,87,-920.7692260742188
1622521649.302619,88,-855.5725708007812
1622521653.218786,89,-907.7230224609375
1622521672.64844,94,-881.7362670898438
1622521704.638815,102,-876.083740234375
1622521718.417391,105,-956.4462280273438
1622521722.983026,106,-899.7374267578125
1622521755.312776,113,-661.2830200195312
1622521767.305265,116,-868.9600830078125
1622521775.285925,118,-806.7932739257812
1622521779.236621,119,-964.2599487304688
1622521783.25652,120,-948.9497680664062
1622521799.212078,124,-889.64453125
1622521803.167617,125,-915.903564453125
1622521807.192047,126,-810.2587280273438
1622521819.128764,129,-898.9754638671875
1622521823.166153,130,-951.8455200195312
1622521835.142659,133,-901.7322387695312
1622521851.147214,137,-956.1824340820312
1622521859.192068,139,-893.2552490234375
1622521867.247803,141,-895.1015625
1622521871.262031,142,-943.9743041992188
1622521875.230043,143,-952.7957153320312
1622521879.27846,144,-920.9299926757812
1622521887.927348,146,-964.325927734375
1622521895.836794,148,-966.9638061523438
1622521903.723321,150,-916.71728515625
1622521915.590365,153,-906.956787109375
1622521919.550701,154,-916.5425415039062
1622521923.467636,155,-941.2532348632812
1622521931.34027,157,-919.7273559570312
1622521935.316274,158,-845.3414916992188
1622521939.244078,159,-824.3966064453125
1622521951.125104,162,-831.7236938476562
1622521959.017464,164,-831.810791015625
1622521962.930953,165,-579.9588012695312
1622521970.810597,167,-696.1415405273438
1622521974.78814,168,-860.8031616210938
1622521986.641835,171,-777.6231079101562
1622522010.137699,176,-728.7056274414062
1622522014.800962,177,-722.9342651367188
1622522019.534479,178,-717.8934936523438
1622522028.975614,180,-971.7161254882812
1622522033.628575,181,-767.9407348632812
1622522042.974875,183,-700.6741333007812
1622522052.32603,185,-924.7010498046875
1622522057.029451,186,-754.9166259765625
1622522061.005508,187,-916.8160400390625
1622522065.027574,188,-829.380859375
1622522073.695946,190,-659.4373168945312
1622522078.335501,191,-756.7108154296875
1622522107.53741,198,-879.4210815429688
1622522125.237982,202,-932.139892578125
1622522143.90755,206,-837.963134765625
1622522148.548794,207,-943.1347045898438
1622522153.069313,208,-823.8876953125
1622522169.063966,212,-885.861572265625
1622522173.043341,213,-829.0193481445312
1622522181.070933,215,-961.99853515625
1622522193.820296,218,-806.838134765625
1622522198.359829,219,-913.763916015625
1622522212.349984,222,-831.8621215820312
1622522217.05462,223,-840.6474609375
1622522226.414759,225,-832.8802490234375
1622522231.123878,226,-950.6170654296875
1622522235.762921,227,-741.4890747070312
1622522245.150472,229,-973.8223876953125
1622522249.864886,230,-953.7172241210938
1622522254.508228,231,-942.5587158203125
1622522259.211299,232,-951.2601318359375
1622522263.849483,233,-903.45751953125
1622522268.5477,234,-820.1364135742188
1622522282.307367,237,-733.3302612304688
1622522296.203429,240,-764.8441772460938
1622522314.681169,244,-878.895263671875
1622522319.265218,245,-706.6163940429688
1622522328.500699,247,-781.608154296875
1622522337.741989,249,-870.0849609375
1622522342.401039,250,-856.8180541992188
1622522365.789863,255,-847.3361206054688
1622522379.903811,258,-945.9071655273438
1622522384.577476,259,-736.585205078125
1622522389.310913,260,-766.6508178710938
1622522393.985672,261,-724.7890625
1622522403.389919,263,-699.6577758789062
1622522422.241175,267,-798.1826171875
1622522431.604831,269,-760.31884765625
1622522440.971053,271,-767.8175659179688
1622522449.004924,273,-830.24560546875
1622522469.065908,278,-959.899658203125
1622522477.067991,280,-892.494384765625
1622522493.159846,284,-867.0992431640625
1622522513.276521,289,-870.5370483398438
1622522521.876157,291,-954.4468383789062
1622522526.468523,292,-823.74951171875
1622522540.148211,295,-693.8597412109375
1622522549.288647,297,-912.17431640625
1622522553.885546,298,-967.5755615234375
1622522558.424184,299,-875.9705810546875
1622522568.046907,301,-728.8575439453125
1622522572.712285,302,-765.7630615234375
1622522577.254022,303,-965.953369140625
1622522594.390981,307,-950.9778442382812
1622522598.284168,308,-668.8126220703125
1622522606.157164,310,-847.4248046875
1622522618.033502,313,-710.4512329101562
1622522633.721752,317,-669.4397583007812
1622522637.602898,318,-834.962890625
1622522641.547542,319,-864.3960571289062
1622522645.431635,320,-831.169189453125
1622522653.244327,322,-718.0076293945312
1622522665.011204,325,-708.5089111328125
1622522668.904263,326,-712.952880859375
1622522672.853022,327,-726.537353515625
1622522684.576259,330,-747.2177124023438
1622522688.533649,331,-831.31201171875
1622522696.352313,333,-738.7215576171875
1622522719.864585,339,-919.462890625
1622522728.510627,341,-720.2178955078125
1622522742.554511,344,-929.9581298828125
1622522747.275703,345,-949.0308227539062
1622522756.65833,347,-740.7885131835938
1622522761.322665,348,-871.832275390625
1622522784.866444,353,-682.486572265625
1622522789.563206,354,-836.4483642578125
1622522798.99824,356,-904.0635986328125
1622522808.41575,358,-936.0003051757812
1622522813.159196,359,-964.7295532226562
1622522817.84905,360,-969.6387329101562
1622522832.023512,363,-900.9125366210938
1622522836.685938,364,-887.4666137695312
1622522841.409971,365,-902.296875
1622522850.811472,367,-841.3885498046875
1622522855.415485,368,-920.8203735351562
1622522864.694721,370,-944.8086547851562
1622522869.369531,371,-889.0806274414062
1622522878.64538,373,-938.5426635742188
1622522887.922246,375,-888.6739501953125
1622522897.206207,377,-962.193603515625
1622522901.817698,378,-901.399169921875
1622522906.498226,379,-832.5878295898438
1622522915.810725,381,-943.696533203125
1622522920.448596,382,-876.1596069335938
1622522934.483597,385,-809.3974609375
1622522939.129342,386,-835.9075927734375
1622522943.827579,387,-903.5603637695312
1622522948.469105,388,-945.1144409179688
1622522957.230026,390,-837.882080078125
1622522961.243026,391,-823.0430297851562
1622522965.219443,392,-762.9407958984375
1622522969.218718,393,-956.2075805664062
1622523006.257102,402,-787.2190551757812
1622523010.303922,403,-933.4442138671875
1622523018.351799,405,-788.9091796875
1622523030.482985,408,-824.5986938476562
1622523058.808893,415,-963.0240478515625
1622523062.877251,416,-818.6865234375
1622523078.985686,420,-784.6084594726562
1622523082.977783,421,-642.208740234375
1622523087.065888,422,-721.009765625
1622523095.127228,424,-804.129638671875
1622523103.168749,426,-914.227294921875
1622523119.434206,430,-812.292236328125
1622523161.99943,439,-838.4295043945312
1622523166.739854,440,-950.6583862304688
1622523170.99497,441,-807.442138671875
1622523175.059018,442,-827.2442016601562
1622523183.132436,444,-789.307861328125
1622523187.135967,445,-744.3015747070312
1622523199.286155,448,-889.178955078125
1622523211.345832,451,-815.5921020507812
1622523235.601353,457,-756.4564819335938
1622523239.774583,458,-816.4334716796875
1622523243.771042,459,-974.7841796875
1622523247.833491,460,-888.3198852539062
1622523251.84781,461,-728.9348754882812
1622523259.922144,463,-746.42919921875
1622523263.993065,464,-871.765380859375
1622523268.01143,465,-824.1497802734375
1622523276.101054,467,-874.71484375
1622523280.170743,468,-922.12890625
1622523284.185042,469,-777.2600708007812
1622523292.274164,471,-949.7990112304688
1622523300.366468,473,-803.9571533203125
1622523304.445654,474,-729.736083984375
1622523320.674483,478,-849.5480346679688
1622523353.375442,485,-950.53271484375
1622523367.486133,488,-666.153076171875
1622523372.121531,489,-851.5818481445312
1622523381.455846,491,-947.655517578125
1622523390.84696,493,-672.8534545898438
1622523405.062042,496,-825.1934204101562
1622523452.591168,507,-779.6817016601562
1622523464.516409,510,-976.7971801757812
1622523468.449322,511,-808.062255859375
1622523472.432517,512,-785.8798217773438
1622523480.338519,514,-971.8687744140625
1622523488.244322,516,-771.8694458007812
1622523492.170123,517,-876.7003173828125
1622523500.196527,519,-764.3207397460938
1622523519.995883,524,-744.42333984375
1622523523.939954,525,-748.9362182617188
1622523547.756442,531,-722.9712524414062
1622523555.718224,533,-723.9060668945312
1622523559.755571,534,-776.5245971679688
1622523563.724969,535,-870.1041870117188
1622523567.705224,536,-745.3234252929688
1622523571.632155,537,-753.15185546875
1622523575.602262,538,-931.8002319335938
1622523579.528018,539,-826.6355590820312
1622523583.512327,540,-759.5956420898438
1622523587.42968,541,-954.5791015625
1622523591.402304,542,-942.5157470703125
1622523599.331583,544,-778.6741333007812
1622523611.185191,547,-746.2306518554688
1622523615.204386,548,-783.5662231445312
1622523619.853436,549,-748.4661254882812
1622523629.193261,551,-772.417236328125
1622523647.874075,555,-762.1366577148438
1622523657.221962,557,-801.779296875
1622523666.569926,559,-789.5570678710938
1622523671.266715,560,-703.4737548828125
1622523685.243917,563,-709.0436401367188
1622523689.973599,564,-732.0526733398438
1622523694.626946,565,-725.4949951171875
1622523703.958001,567,-970.448974609375
1622523712.066732,569,-728.45263671875
1622523720.146197,571,-686.371826171875
1622523728.203411,573,-755.964599609375
1622523732.253121,574,-692.419677734375
1622523744.285978,577,-868.3901977539062
1622523752.354219,579,-830.5050048828125
1622523756.454271,580,-715.907470703125
1622523760.42897,581,-949.927978515625
1622523764.465894,582,-782.4027099609375
1622523768.451257,583,-737.5886840820312
1622523772.487591,584,-770.0875854492188
1622523780.506156,586,-801.7695922851562
1622523784.497311,587,-723.4404296875
1622523804.597428,592,-783.9306030273438
1622523808.571485,593,-960.6903076171875
1622523816.611167,595,-759.6465454101562
1622523820.658249,596,-825.4271240234375
1622523824.656714,597,-717.3411254882812
