Wall time,Step,Value
1622988832.505891,5,-998.482421875
1622988881.442188,18,-997.0331420898438
1622988904.284093,24,-997.8267211914062
1622988965.042698,40,-999.6787719726562
1622988972.68291,42,-999.4261474609375
1622988984.213398,45,-999.2384643554688
1622989014.628067,53,-996.8279418945312
1622989025.836289,56,-997.373779296875
1622989083.248169,71,-999.7249755859375
1622989094.795731,74,-999.6392211914062
1622989171.978759,94,-997.4166870117188
1622989203.245045,102,-999.1939086914062
1622989218.468093,106,-999.342041015625
1622989295.057029,126,-999.62744140625
1622989344.245247,139,-999.3770751953125
1622989405.502713,155,-999.8189697265625
1622989416.957871,158,-999.6726684570312
1622989451.490225,167,-999.8049926757812
1622989493.686919,178,-999.541015625
1622989512.976969,183,-999.8417358398438
1622989520.523007,185,-999.5990600585938
1622989524.3233,186,-998.5205078125
1622989539.558007,190,-999.3839721679688
1622989605.299066,207,-998.8773803710938
1622989666.048711,223,-999.1058349609375
1622989688.782148,229,-997.8336181640625
1622989707.799409,234,-998.9480590820312
1622989764.647248,249,-998.5372314453125
1622989788.004116,255,-979.3301391601562
1622989807.483692,260,-986.0319213867188
1622989834.346909,267,-937.1395874023438
1622989849.653161,271,-997.4430541992188
1622989857.332816,273,-964.1964111328125
1622989929.564892,292,-987.732421875
1622989990.551726,308,-987.4667358398438
1622989998.206547,310,-952.603271484375
1622990028.604015,318,-993.3408813476562
1622990074.303579,330,-977.84912109375
1622990108.979036,339,-782.5712890625
1622990140.20455,347,-881.3966064453125
1622990202.059232,363,-844.801025390625
1622990217.718089,367,-786.0536499023438
1622990426.507775,421,-735.6699829101562
1622990430.39632,422,-920.5077514648438
1622990495.456592,439,-971.6041259765625
1622990507.244074,442,-899.1290283203125
1622990518.903121,445,-846.1241455078125
1622990576.947502,460,-800.6538696289062
1622990588.509082,463,-994.5445556640625
1622990592.401912,464,-994.3915405273438
1622990631.164204,474,-842.2914428710938
1622990697.897897,491,-900.9219360351562
1622990705.779516,493,-831.0738525390625
1622990788.89854,514,-939.9874267578125
1622990800.660462,517,-986.5917358398438
1622990855.179042,531,-882.1948852539062
1622990874.374507,536,-877.5027465820312
1622990978.976126,563,-813.827880859375
1622991017.807019,573,-821.3690185546875
1622991041.310322,579,-924.2988891601562
1622991048.977587,581,-833.0127563476562
1622991068.224882,586,-910.05322265625
1622991072.029299,587,-815.176513671875
1622991130.023787,602,-994.0714721679688
1622991199.681243,620,-845.6349487304688
1622991207.688472,622,-872.5537719726562
1622991255.014759,634,-850.1783447265625
1622991282.454389,641,-746.1666259765625
1622991286.314822,642,-996.7671508789062
1622991294.115676,644,-787.4989013671875
1622991305.842659,647,-799.7818603515625
1622991313.6547,649,-780.5407104492188
1622991360.482998,661,-744.6895141601562
1622991399.651068,671,-845.8543701171875
1622991447.274083,683,-786.1455688476562
1622991467.071773,688,-808.078857421875
1622991568.585582,714,-803.6552734375
1622991584.468652,718,-754.9299926757812
1622991600.328655,722,-807.1344604492188
1622991604.267966,723,-954.1376342773438
1622991632.00604,730,-757.7078247070312
1622991667.602929,739,-820.7737426757812
1622991683.237441,743,-785.7791748046875
1622991698.933418,747,-774.4707641601562
1622991718.730214,752,-731.4642333984375
1622991734.605531,756,-826.4207153320312
1622991770.244822,765,-754.6508178710938
1622991786.159009,769,-889.7359619140625
1622991794.084085,771,-774.0203857421875
1622991802.092405,773,-806.1793212890625
1622991829.855957,780,-808.1959838867188
1622991849.665714,785,-765.3380737304688
1622991857.591147,787,-715.9287719726562
1622991877.261319,792,-784.2197265625
1622991885.059581,794,-766.2732543945312
1622991900.812195,798,-791.2050170898438
1622991917.039985,802,-886.1400756835938
1622991940.453527,808,-770.6686401367188
1622991944.295481,809,-831.2249145507812
1622992033.628522,832,-835.9049072265625
1622992049.237623,836,-770.060546875
1622992178.782924,869,-780.5556030273438
1622992206.320709,876,-722.0122680664062
1622992229.558465,882,-779.0994873046875
1622992283.825196,896,-855.6831665039062
1622992299.801699,900,-723.6646728515625
1622992327.180339,907,-724.839111328125
1622992334.928707,909,-845.839111328125
1622992358.494191,915,-786.2972412109375
1622992366.272713,917,-821.9364013671875
1622992421.212004,931,-793.853515625
1622992425.14947,932,-857.4177856445312
1622992464.668697,942,-772.7357788085938
1622992476.380985,945,-811.501708984375
1622992511.862858,954,-802.3731689453125
1622992527.383502,958,-794.84814453125
1622992542.913173,962,-787.7308959960938
1622992578.316479,971,-785.6561889648438
1622992582.266223,972,-790.0015258789062
1622992606.350168,978,-780.657958984375
1622992610.250873,979,-768.4092407226562
1622992630.001591,984,-772.7911987304688
1622992677.423316,996,-989.76025390625
1622992701.157303,1002,-796.7711181640625
1622992712.901878,1005,-717.0055541992188
1622992747.85269,1014,-753.0420532226562
1622992790.516811,1025,-748.8461303710938
1622992864.540724,1044,-731.0725708007812
1622992915.019332,1057,-877.9010009765625
1622992938.32047,1063,-728.427001953125
1622992949.989591,1066,-989.3858642578125
1622992957.928422,1068,-735.7967529296875
1622992973.609752,1072,-699.9612426757812
1622992996.982642,1078,-777.4813842773438
1622993016.646688,1083,-995.7396240234375
1622993055.751227,1093,-897.0897216796875
1622993079.050298,1099,-782.5177001953125
1622993098.831121,1104,-730.436767578125
1622993137.702105,1114,-722.4322509765625
1622993157.393324,1119,-775.7424926757812
1622993303.642902,1156,-797.25341796875
1622993319.477661,1160,-853.1065673828125
1622993323.377679,1161,-765.783447265625
1622993327.338025,1162,-786.6188354492188
1622993398.171322,1180,-803.0653686523438
1622993445.547326,1192,-853.79345703125
1622993449.472049,1193,-751.0320434570312
1622993473.160278,1199,-782.4381713867188
1622993501.175805,1206,-734.0755004882812
1622993604.020053,1232,-998.783447265625
1622993611.988822,1234,-764.59423828125
1622993651.289842,1244,-811.122314453125
1622993694.570083,1255,-857.9321899414062
1622993706.433738,1258,-694.2379150390625
1622993718.238507,1261,-833.5238037109375
1622993797.173313,1281,-767.7816772460938
1622993821.043789,1287,-750.2828979492188
1622993849.034684,1294,-991.2532958984375
1622993872.983789,1300,-842.372314453125
1622993911.984294,1310,-858.130615234375
1622993935.535318,1316,-900.4230346679688
1622993947.229195,1319,-983.79052734375
1622993990.206326,1330,-914.1369018554688
1622994002.047786,1333,-681.756103515625
1622994013.846094,1336,-797.4474487304688
1622994017.82608,1337,-836.5521240234375
1622994208.809138,1385,-850.7588500976562
1622994220.908118,1388,-795.5447387695312
1622994232.818063,1391,-893.6068115234375
1622994236.80021,1392,-754.9998779296875
1622994324.545402,1414,-816.5335693359375
1622994371.357885,1426,-930.2752075195312
1622994379.15575,1428,-751.986328125
1622994394.842522,1432,-717.438720703125
1622994410.440704,1436,-810.4569091796875
1622994426.031895,1440,-715.9111938476562
1622994523.771543,1465,-825.6124877929688
1622994527.741473,1466,-823.43505859375
1622994571.205206,1477,-839.8681640625
1622994602.776328,1485,-997.8199462890625
1622994618.592763,1489,-797.2826538085938
1622994626.505827,1491,-993.0786743164062
1622994694.30386,1508,-849.1084594726562
1622994752.993745,1523,-745.885498046875
1622994768.569869,1527,-811.0671997070312
1622994866.914247,1552,-750.8197021484375
1622994930.253902,1568,-742.2106323242188
1622994934.191791,1569,-938.9857177734375
1622994993.809066,1584,-765.1143798828125
1622995009.6128,1588,-718.643798828125
1622995044.684479,1597,-681.866943359375
1622995072.657382,1604,-813.7302856445312
1622995076.664999,1605,-773.7535400390625
1622995127.902372,1618,-776.5079956054688
1622995163.064209,1627,-843.94384765625
1622995182.80344,1632,-754.2730712890625
1622995202.532819,1637,-762.4315795898438
1622995214.525211,1640,-733.3604736328125
1622995234.485096,1645,-933.0105590820312
1622995246.16263,1648,-829.1719970703125
1622995293.614643,1660,-796.3181762695312
1622995324.877075,1668,-888.1550903320312
1622995352.27145,1675,-883.4743041992188
1622995379.602639,1682,-765.8892211914062
1622995414.842099,1691,-781.3118286132812
1622995430.507075,1695,-710.6953125
1622995434.378087,1696,-715.3429565429688
1622995438.312439,1697,-796.826171875
1622995446.360498,1699,-822.4883422851562
1622995458.732417,1702,-698.5082397460938
1622995486.81244,1709,-727.9248657226562
1622995522.912782,1718,-789.7938842773438
1622995562.441162,1728,-774.0897827148438
1622995578.279347,1732,-782.6591186523438
1622995586.194078,1734,-745.0885620117188
1622995598.219301,1737,-718.5776977539062
1622995617.801006,1742,-770.631103515625
1622995629.565403,1745,-749.6871948242188
1622995633.457274,1746,-835.0362548828125
1622995637.400117,1747,-774.9608764648438
1622995711.615894,1766,-719.4949951171875
1622995746.884824,1775,-698.0714721679688
1622995770.459455,1781,-745.4345703125
1622995798.131839,1788,-724.6093139648438
1622995802.120859,1789,-787.4119262695312
1622995837.725275,1798,-784.2621459960938
1622995866.020507,1805,-707.482421875
1622995913.485022,1817,-716.4782104492188
1622995949.148463,1826,-746.0640869140625
1622995965.049683,1830,-706.7094116210938
1622996004.765697,1840,-818.6319580078125
1622996020.451258,1844,-706.2055053710938
1622996056.364866,1853,-672.5950927734375
1622996107.961923,1866,-950.9420166015625
1622996119.805416,1869,-755.24755859375
1622996143.615923,1875,-741.7334594726562
1622996151.644025,1877,-791.8445434570312
1622996287.297956,1911,-845.807861328125
1622996310.799623,1917,-804.3812866210938
1622996377.810317,1934,-916.0726928710938
1622996385.726277,1936,-728.162109375
1622996393.675851,1938,-742.9688110351562
1622996417.467084,1944,-839.7845458984375
1622996429.351622,1947,-819.18798828125
1622996437.262721,1949,-804.5941162109375
1622996509.200712,1967,-780.9808349609375
1622996564.122329,1981,-694.6776123046875
1622996571.962097,1983,-791.6494140625
1622996643.317056,2001,-834.328125
1622996658.983308,2005,-766.5394287109375
1622996690.280864,2013,-744.4337768554688
1622996757.745651,2030,-766.0219116210938
1622996781.862909,2036,-751.4153442382812
1622996876.968297,2060,-750.8760375976562
1622996924.089533,2072,-824.1842651367188
1622996927.992968,2073,-731.8389892578125
1622996939.977777,2076,-712.7711791992188
1622996943.974696,2077,-784.9186401367188
1622996952.000022,2079,-681.23583984375
1622996959.99902,2081,-851.0360107421875
1622996976.075356,2085,-837.3215942382812
1622996991.991414,2089,-741.8839721679688
1622997011.81034,2094,-686.5648803710938
1622997019.741403,2096,-682.9348754882812
1622997080.377819,2111,-725.7942504882812
1622997215.665138,2145,-671.774658203125
1622997231.805973,2149,-673.4674072265625
1622997239.840981,2151,-704.79638671875
1622997259.837481,2156,-689.3548583984375
1622997295.69743,2165,-669.5216064453125
1622997327.054434,2173,-666.9415283203125
1622997342.757792,2177,-683.2796020507812
1622997382.261728,2187,-682.03076171875
1622997390.422654,2189,-705.6210327148438
1622997398.518638,2191,-672.14404296875
1622997402.52853,2192,-674.2758178710938
1622997418.508342,2196,-687.4396362304688
1622997430.468466,2199,-670.3237915039062
1622997462.575994,2207,-668.4413452148438
1622997478.480083,2211,-670.9121704101562
1622997534.997975,2225,-664.8599243164062
1622997559.174109,2231,-709.697265625
1622997579.256068,2236,-673.4453735351562
1622997583.298455,2237,-683.5582275390625
1622997591.352921,2239,-680.3543701171875
1622997603.343794,2242,-670.6557006835938
1622997611.295615,2244,-668.675048828125
1622997619.340514,2246,-662.6502075195312
1622997623.398706,2247,-681.1891479492188
1622997651.575884,2254,-708.0489501953125
1622997663.674672,2257,-662.4135131835938
1622997683.830526,2262,-670.4443969726562
1622997758.659338,2281,-672.4376220703125
1622997798.4871,2291,-677.5894775390625
1622997822.730438,2297,-687.5977172851562
1622997847.64206,2303,-671.4327392578125
1622997863.818481,2307,-680.1620483398438
1622997867.822087,2308,-661.833251953125
1622997912.274654,2319,-685.834716796875
1622997916.286792,2320,-703.6831665039062
1622997976.894213,2335,-662.8034057617188
1622998017.451616,2345,-659.7174072265625
1622998053.743964,2354,-666.2405395507812
1622998121.524216,2371,-664.2847900390625
1622998193.082717,2389,-685.3742065429688
1622998197.037988,2390,-660.5926513671875
1622998204.985516,2392,-658.1786499023438
1622998245.330443,2402,-658.57958984375
1622998261.267456,2406,-668.2017211914062
1622998337.768002,2425,-676.724609375
1622998382.293821,2436,-671.423095703125
1622998414.608644,2444,-665.77294921875
1622998438.623123,2450,-661.9791259765625
1622998442.580313,2451,-667.5515747070312
1622998450.446851,2453,-655.4075317382812
1622998458.30839,2455,-655.3031616210938
1622998477.933168,2460,-654.89990234375
1622998577.679803,2485,-663.7281494140625
1622998581.62031,2486,-656.9273681640625
1622998621.652524,2496,-658.9237060546875
1622998629.65519,2498,-657.8896484375
1622998649.924497,2503,-653.3328857421875
1622998705.685504,2517,-663.028076171875
1622998730.166886,2523,-667.4119262695312
1622998758.432371,2530,-657.3521728515625
1622998766.510641,2532,-664.760009765625
1622998827.06024,2547,-659.2495727539062
1622998843.264732,2551,-655.2442016601562
1622998851.321821,2553,-644.5432739257812
1622998903.803334,2566,-648.9315795898438
1622998952.346367,2578,-662.528076171875
1622999000.051329,2590,-649.1795043945312
1622999004.033235,2591,-650.267578125
1622999007.954044,2592,-659.6076049804688
1622999039.860372,2600,-649.3589477539062
1622999063.71838,2606,-658.1162109375
1622999131.517068,2623,-651.684814453125
1622999155.455995,2629,-655.7560424804688
1622999159.421352,2630,-652.3073120117188
1622999191.420536,2638,-653.1690673828125
1622999215.343998,2644,-651.400634765625
1622999239.345231,2650,-651.8232421875
1622999259.319724,2655,-653.7562255859375
1622999352.012771,2678,-657.462890625
1622999360.089359,2680,-653.4132080078125
1622999380.041819,2685,-648.9089965820312
1622999399.887305,2690,-651.8687133789062
1622999451.504783,2703,-649.618896484375
1622999479.055464,2710,-653.6170654296875
1622999538.314976,2725,-650.4638061523438
1622999586.105728,2737,-651.8999633789062
1622999597.926668,2740,-651.9203491210938
1622999653.223355,2754,-665.3623046875
1622999657.188833,2755,-652.8765258789062
1622999665.068897,2757,-659.5846557617188
1622999791.754954,2789,-647.9109497070312
1622999795.678517,2790,-657.5919189453125
1622999799.654845,2791,-649.9080810546875
1622999827.27037,2798,-652.0785522460938
1622999871.717357,2809,-656.4615478515625
1622999931.478718,2824,-651.7984619140625
1622999943.658668,2827,-652.733642578125
1622999951.763931,2829,-650.5531616210938
1623000071.958557,2859,-649.1847534179688
1623000123.724203,2872,-654.3298950195312
1623000159.316417,2881,-654.0704956054688
1623000195.406215,2890,-651.1624145507812
1623000219.74546,2896,-662.8765258789062
1623000236.346579,2900,-655.6893310546875
1623000305.332996,2917,-660.1705932617188
1623000313.30133,2919,-653.8448486328125
1623000317.282477,2920,-651.1726684570312
1623000321.305398,2921,-657.1565551757812
1623000365.295326,2932,-658.08203125
1623000438.124848,2950,-657.8623046875
1623000506.740891,2967,-655.5575561523438
1623000538.748844,2975,-649.1571044921875
1623000631.553044,2998,-656.7691650390625
1623000668.150362,3007,-651.0120849609375
