Wall time,Step,Value
1621397198.558588,5,-910.6764526367188
1621397246.763852,18,-942.3939208984375
1621397268.470615,24,-901.30712890625
1621397330.02042,40,-923.5235595703125
1621397338.438293,42,-892.78369140625
1621397350.98793,45,-666.7967529296875
1621397359.44372,47,-913.9481201171875
1621397384.725782,53,-847.2047119140625
1621397397.554191,56,-738.4609375
1621397464.921506,71,-773.34130859375
1621397476.445815,74,-806.5780029296875
1621397494.825882,79,-846.6502075195312
1621397550.048296,94,-713.269775390625
1621397585.919611,102,-637.0336303710938
1621397596.948889,105,-699.0634765625
1621397600.655054,106,-679.0429077148438
1621397626.292085,113,-694.0776977539062
1621397673.798599,126,-676.314208984375
1621397721.448594,139,-727.2703857421875
1621397764.135142,150,-755.589599609375
1621397783.055702,155,-764.8980102539062
1621397794.326409,158,-728.4954223632812
1621397828.188693,167,-778.968505859375
1621397831.947924,168,-657.860595703125
1621397869.502082,178,-727.5001831054688
1621397888.130924,183,-616.490234375
1621397895.58146,185,-670.4365844726562
1621397899.297202,186,-733.8270263671875
1621397914.193624,190,-697.6030883789062
1621397943.930859,198,-686.5663452148438
1621397980.062772,206,-728.4953002929688
1621397983.709643,207,-701.8740234375
1621398002.021963,212,-653.5587768554688
1621398048.692463,223,-800.9191284179688
1621398074.462192,229,-683.54296875
1621398093.263734,234,-729.8359985351562
1621398104.401295,237,-873.435791015625
1621398148.852497,249,-705.958740234375
1621398174.289583,255,-660.8663330078125
1621398195.728177,260,-711.2811889648438
1621398225.760869,267,-756.7510986328125
1621398242.920055,271,-684.3545532226562
1621398251.546125,273,-713.9900512695312
1621398333.341896,292,-733.3012084960938
1621398355.694486,297,-716.0940551757812
1621398360.043027,298,-730.967041015625
1621398386.918969,303,-747.8424682617188
1621398408.468958,308,-711.7410888671875
1621398417.046424,310,-710.8494262695312
1621398451.550636,318,-648.25341796875
1621398455.908769,319,-728.6373291015625
1621398486.199955,326,-721.2178955078125
1621398503.497615,330,-697.7150268554688
1621398542.319388,339,-674.2569580078125
1621398576.712315,347,-696.1375732421875
1621398641.318513,363,-752.3641967773438
1621398656.162522,367,-684.9840698242188
1621398693.409041,377,-710.5377807617188
1621398700.828863,379,-694.76904296875
1621398869.095623,421,-736.5311889648438
1621398872.918766,422,-682.5547485351562
1621398880.593741,424,-645.9135131835938
1621398903.675345,430,-701.1221313476562
1621398942.870124,439,-677.1766967773438
1621398951.770827,441,-672.6118774414062
1621398956.19286,442,-679.4976196289062
1621398969.535272,445,-693.0280151367188
1621398996.129676,451,-664.734619140625
1621399035.791493,460,-665.2789916992188
1621399049.050742,463,-715.0471801757812
1621399053.487137,464,-688.1605834960938
1621399097.187411,474,-689.177001953125
1621399169.824848,491,-678.646240234375
1621399178.702354,493,-726.1435546875
1621399242.361127,507,-661.8447875976562
1621399261.457859,512,-688.0724487304688
1621399269.166723,514,-641.3710327148438
1621399281.540393,517,-692.2650146484375
1621399313.867841,525,-668.0070190429688
1621399336.203657,531,-648.2841186523438
1621399343.673691,533,-662.6137084960938
1621399354.811061,536,-671.2030639648438
1621399377.26436,542,-694.6260375976562
1621399398.767515,547,-676.7033081054688
1621399442.746981,557,-678.9993896484375
1621399466.383583,563,-692.2635498046875
1621399492.95753,569,-681.75390625
1621399510.706417,573,-682.1412353515625
1621399536.757406,579,-667.732421875
1621399545.490026,581,-664.4837036132812
1621399549.883726,582,-692.609619140625
1621399558.660998,584,-684.9734497070312
1621399567.519269,586,-663.7022094726562
1621399571.915142,587,-675.2141723632812
1621399594.024889,592,-674.213623046875
1621399598.351647,593,-675.0110473632812
1621399639.233832,602,-646.7854614257812
1621399661.900701,608,-665.6263427734375
1621399669.545929,610,-654.7665405273438
1621399688.478861,615,-669.1348876953125
1621399707.3852,620,-662.1641235351562
1621399714.860626,622,-667.846923828125
1621399765.818758,634,-672.6881103515625
1621399796.75311,641,-664.2301025390625
1621399801.219629,642,-670.8786010742188
1621399810.007219,644,-655.317138671875
1621399818.893438,646,-654.3702392578125
1621399823.313254,647,-648.718505859375
1621399832.21817,649,-669.775146484375
1621399884.615925,661,-676.0932006835938
1621399896.018436,664,-670.0245361328125
1621399911.156871,668,-666.6954345703125
1621399922.553089,671,-668.4697265625
1621399933.941751,674,-641.009033203125
1621399949.404717,678,-671.9417724609375
1621399953.27254,679,-655.5877685546875
1621399969.455051,683,-666.5716552734375
1621399991.577973,688,-669.228271484375
1621400040.181142,699,-682.8436889648438
1621400062.482913,703,-657.8269653320312
1621400073.83274,706,-648.7953491210938
1621400103.798166,714,-663.8497314453125
1621400119.973237,718,-644.1804809570312
1621400133.12133,721,-665.6738891601562
1621400136.950536,722,-643.3844604492188
1621400140.772845,723,-647.1434326171875
1621400167.677786,730,-649.67578125
1621400190.98477,736,-659.1930541992188
1621400199.694641,738,-646.111572265625
1621400204.118611,739,-664.474853515625
1621400221.614375,743,-664.8544311523438
1621400239.178816,747,-652.9379272460938
1621400256.725926,751,-634.7207641601562
1621400261.158055,752,-667.7623901367188
1621400278.719826,756,-651.189208984375
1621400318.161032,765,-666.6204223632812
1621400335.650658,769,-651.5094604492188
1621400340.07221,770,-643.1320190429688
1621400344.426439,771,-674.6638793945312
1621400353.139108,773,-668.5239868164062
1621400357.558382,774,-659.1275024414062
1621400382.55634,780,-651.9068603515625
1621400397.823545,784,-658.2113037109375
1621400401.636356,785,-651.5361328125
1621400409.283278,787,-665.9721069335938
1621400416.888553,789,-660.2702026367188
1621400428.310368,792,-647.1802978515625
1621400432.110797,793,-657.7586059570312
1621400435.906215,794,-650.0523681640625
1621400451.262842,798,-666.1253051757812
1621400472.698546,802,-657.860595703125
1621400495.400776,807,-654.8361206054688
1621400500.18691,808,-653.7940673828125
1621400504.64728,809,-657.328369140625
1621400531.265892,815,-657.2843627929688
1621400606.698907,832,-675.8856201171875
1621400624.442048,836,-655.997314453125
1621400633.289787,838,-669.7039184570312
1621400655.548316,843,-655.8837890625
1621400762.299159,867,-646.6273803710938
1621400771.16045,869,-650.0142822265625
1621400793.389425,874,-660.3045654296875
1621400802.291422,876,-652.78173828125
1621400820.061615,880,-637.60009765625
1621400828.899578,882,-664.8387451171875
1621400864.101826,890,-663.7781372070312
1621400890.753673,896,-656.37451171875
1621400913.131603,900,-654.6616821289062
1621400944.706678,907,-643.8365478515625
1621400953.551247,909,-643.7153930664062
1621400980.339969,915,-642.4669799804688
1621400989.531519,917,-650.2987670898438
1621401003.039056,920,-659.3057250976562
1621401016.520023,923,-658.322021484375
1621401052.550338,931,-667.2351684570312
1621401057.049038,932,-647.2533569335938
1621401070.62435,935,-656.1541137695312
1621401102.180164,942,-662.90771484375
1621401115.606121,945,-651.2745971679688
1621401155.974502,954,-658.4091796875
1621401173.833664,958,-668.9921264648438
1621401187.341908,961,-645.6719360351562
1621401191.82452,962,-638.8002319335938
1621401231.671112,971,-645.1784057617188
1621401235.522845,972,-642.4052124023438
1621401251.006056,976,-654.63427734375
1621401258.831418,978,-656.1671142578125
1621401262.699731,979,-659.5010986328125
1621401278.239253,983,-662.7994995117188
1621401282.106417,984,-658.40185546875
1621401293.78358,987,-647.614013671875
1621401297.708639,988,-660.1207885742188
1621401328.610477,996,-651.7167358398438
1621401348.93034,1000,-661.8329467773438
1621401358.251597,1002,-652.0103759765625
1621401367.070906,1004,-648.689697265625
1621401371.451526,1005,-642.9530639648438
1621401411.064418,1014,-637.7794189453125
1621401424.202092,1017,-653.092041015625
1621401459.365986,1025,-651.6536254882812
1621401468.223719,1027,-645.3726806640625
1621401490.552285,1032,-656.4198608398438
1621401511.495231,1037,-639.0267944335938
1621401540.720635,1044,-649.7297973632812
1621401597.815223,1057,-650.1436767578125
1621401624.206048,1063,-652.1292724609375
1621401637.558637,1066,-650.5075073242188
1621401646.455111,1068,-639.1448974609375
1621401664.244132,1072,-631.6871948242188
1621401682.301788,1076,-644.2151489257812
1621401691.399743,1078,-648.1098022460938
1621401714.065612,1083,-654.6356811523438
1621401718.448574,1084,-639.3709716796875
1621401722.25384,1085,-644.6693725585938
1621401752.970624,1093,-656.8369140625
1621401775.979142,1099,-653.5460815429688
1621401797.46946,1103,-643.7021484375
1621401801.335083,1104,-660.0272216796875
1621401839.557871,1114,-642.5490112304688
1621401858.679781,1119,-640.0962524414062
1621401919.07391,1133,-659.1651611328125
1621401927.089017,1135,-636.5855102539062
1621402016.08567,1155,-646.1763916015625
1621402020.528603,1156,-652.708251953125
1621402038.219204,1160,-662.23779296875
1621402042.60382,1161,-643.7919311523438
1621402047.008228,1162,-650.6983642578125
1621402124.601283,1180,-643.360107421875
1621402143.744328,1185,-656.0826416015625
1621402170.768697,1192,-642.9827270507812
1621402175.264932,1193,-653.4134521484375
1621402202.358814,1199,-647.5388793945312
1621402216.285897,1201,-652.1448364257812
1621402239.109913,1206,-655.2869262695312
1621402248.158698,1208,-642.4595947265625
1621402349.138886,1232,-650.5679931640625
1621402358.020312,1234,-654.6378784179688
1621402366.977107,1236,-639.3868408203125
1621402402.609548,1244,-647.7688598632812
1621402416.009973,1247,-638.6348266601562
1621402451.562422,1255,-645.4359130859375
1621402465.009346,1258,-638.1414794921875
1621402478.333185,1261,-653.5108642578125
1621402536.355478,1274,-656.3475341796875
1621402566.831043,1281,-658.1109619140625
1621402590.161057,1287,-652.1712646484375
1621402614.962093,1293,-656.8607177734375
1621402619.465555,1294,-648.2567749023438
1621402651.245389,1300,-662.5941162109375
1621402690.077018,1310,-647.024658203125
1621402709.132766,1315,-649.2557373046875
1621402712.883107,1316,-639.0194091796875
1621402726.094688,1319,-658.0467529296875
1621402752.542966,1325,-642.9725341796875
1621402761.40248,1327,-641.47705078125
1621402774.828156,1330,-640.5908203125
1621402786.994742,1333,-643.7059936523438
1621402798.468476,1336,-639.9111938476562
1621402802.299211,1337,-670.5704956054688
1621402879.550977,1355,-639.8109741210938
1621402944.272753,1370,-648.7191162109375
1621403011.302911,1385,-646.2572631835938
1621403024.715763,1388,-653.015625
1621403029.166404,1389,-644.3472290039062
1621403038.141921,1391,-636.1502685546875
1621403042.710166,1392,-637.7286987304688
1621403134.35218,1413,-638.9100952148438
1621403138.195957,1414,-638.2223510742188
1621403159.395183,1419,-650.5586547851562
1621403172.789207,1422,-644.5703735351562
1621403190.73394,1426,-636.0628051757812
1621403199.802666,1428,-659.8607788085938
1621403217.911333,1432,-642.3978881835938
1621403235.861742,1436,-652.3971557617188
1621403253.741443,1440,-632.7755737304688
1621403355.135109,1465,-679.55810546875
1621403359.045637,1466,-647.3108520507812
1621403401.554064,1477,-635.4298095703125
1621403432.376143,1485,-654.6492919921875
1621403436.198765,1486,-651.7059326171875
1621403447.763295,1489,-640.892822265625
1621403455.435683,1491,-641.6416015625
1621403459.27203,1492,-639.719482421875
1621403499.663464,1501,-653.5580444335938
1621403527.989998,1508,-645.8394165039062
1621403585.928621,1523,-656.3059692382812
1621403589.78125,1524,-655.84716796875
1621403601.379644,1527,-643.0366821289062
1621403674.517587,1546,-663.8700561523438
1621403693.718453,1551,-637.376220703125
1621403697.560937,1552,-639.3414916992188
1621403705.161573,1554,-637.889404296875
